,Unnamed: 0,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
87,297,12,METRO36100M36100,"Ocala, FL MSA",691,729,837,1148,1181,FL,258916.0
88,298,12,METRO36740M36740,"Orlando-Kissimmee-Sanford, FL MSA",842,916,1043,1315,1608,FL,1644561.0
89,299,12,METRO37340M37340,"Palm Bay-Melbourne-Titusville, FL MSA",668,823,953,1310,1500,FL,476230.0
90,300,12,METRO37380M37380,"Palm Coast, FL MSA",753,857,1075,1486,1886,FL,49832.0
91,301,12,METRO37460M37460,"Panama City-Lynn Haven-Panama City Beach, FL MSA",719,741,866,1218,1352,FL,148217.0
92,302,12,METRO37860M37860,"Pensacola-Ferry Pass-Brent, FL MSA",699,761,845,1231,1484,FL,412153.0
93,303,12,METRO38940M38940,"Port St. Lucie, FL MSA",806,813,1019,1313,1352,FL,319426.0
94,304,12,METRO39460M39460,"Punta Gorda, FL MSA",687,768,966,1409,1699,FL,141627.0
95,305,12,METRO42680M42680,"Sebastian-Vero Beach, FL MSA",670,798,1020,1252,1288,FL,112947.0
96,306,12,METRO45220M45220,"Tallahassee, FL HUD Metro FMR Area",726,798,1004,1352,1392,FL,297441.0
97,308,12,METRO45300M45300,"Tampa-St. Petersburg-Clearwater, FL MSA",736,824,992,1278,1557,FL,2395997.0
98,337,13,METRO10500M10500,"Albany, GA MSA",566,598,680,908,1004,GA,157833.0
99,339,13,METRO12060M12060,"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",764,830,923,1144,1282,GA,4164323.0
100,345,13,METRO15260M15260,"Brunswick, GA MSA",561,610,676,969,1188,GA,93044.0
101,346,13,METRO16860M16860,"Chattanooga, TN-GA MSA",617,657,767,975,1085,GA,129489.0
103,348,13,METRO19140M19140,"Dalton, GA HUD Metro FMR Area",567,615,681,896,923,GA,83525.0
104,350,13,METRO23580M23580,"Gainesville, GA MSA",743,806,898,1137,1421,GA,139277.0
105,351,13,METRO25980M25980,"Hinesville-Fort Stewart, GA HUD Metro FMR Area",539,584,652,930,1058,GA,61610.0
106,353,13,METRO31420M31420,"Macon, GA MSA",590,639,712,858,904,GA,200611.0
107,355,13,METRO40660M40660,"Rome, GA MSA",506,558,689,858,885,GA,90565.0
108,356,13,METRO42340M42340,"Savannah, GA MSA",710,772,870,1153,1315,GA,293000.0
109,357,13,METRO46660M46660,"Valdosta, GA MSA",561,571,676,952,981,GA,119560.0
110,358,13,METRO47580M47580,"Warner Robins, GA MSA",637,640,772,1099,1225,GA,110765.0
111,448,15,METRO26180M26180,"Honolulu, HI MSA",1266,1508,1824,2659,3132,HI,876156.0
112,453,16,METRO14260M14260,"Boise City-Nampa, ID HUD Metro FMR Area",542,645,736,1070,1177,ID,449659.0
113,455,16,METRO17660M17660,"Coeur d'Alene, ID MSA",604,655,786,1143,1283,ID,108685.0
114,456,16,METRO26820M26820,"Idaho Falls, ID MSA",504,551,689,951,1175,ID,101677.0
115,457,16,METRO30300M30300,"Lewiston, ID-WA MSA",534,554,699,965,1163,ID,37410.0
116,458,16,METRO30860M30860,"Logan, UT-ID MSA",535,570,702,958,1181,ID,11329.0
117,459,16,METRO38540M38540,"Pocatello, ID MSA",448,514,646,941,1136,ID,83103.0
118,492,17,METRO14060M14060,"Bloomington-Normal, IL MSA",543,609,773,1032,1324,IL,150433.0
119,493,17,METRO16020M16020,"Cape Girardeau-Jackson, MO-IL MSA",428,486,634,841,1079,IL,9590.0
120,494,17,METRO16580M16580,"Champaign-Urbana, IL MSA",531,636,757,1011,1328,IL,210275.0
121,495,17,METRO16980M16980,"Chicago-Joliet-Naperville, IL HUD Metro FMR Area",790,904,1016,1242,1403,IL,8091720.0
122,499,17,METRO19180M19180,"Danville, IL MSA",422,493,649,788,813,IL,83919.0
123,500,17,METRO19340M19340,"Davenport-Moline-Rock Island, IA-IL MSA",508,559,704,910,985,IL,217351.0
124,501,17,METRO19500M19500,"Decatur, IL MSA",431,530,659,894,921,IL,114706.0
125,502,17,METRO28100M28100,"Kankakee-Bradley, IL MSA",533,597,763,994,1072,IL,103833.0
126,503,17,METRO37900M37900,"Peoria, IL MSA",493,574,719,927,1069,IL,366899.0
127,504,17,METRO40420M40420,"Rockford, IL MSA",523,588,763,1003,1033,IL,320204.0
128,505,17,METRO41180M41180,"St. Louis, MO-IL HUD Metro FMR Area",616,671,833,1086,1161,IL,604929.0
129,508,17,METRO44100M44100,"Springfield, IL MSA",467,555,713,941,1075,IL,201437.0
130,574,18,METRO11300M11300,"Anderson, IN MSA",604,605,742,930,967,IN,133358.0
131,575,18,METRO14020MM1020,"Bloomington, IN HUD Metro FMR Area",523,618,740,1077,1253,IN,120563.0
132,578,18,METRO16980MM2960,"Gary, IN HUD Metro FMR Area",598,710,867,1049,1079,IN,645928.0
133,580,18,METRO17140M17140,"Cincinnati-Middleton, OH-KY-IN HUD Metro FMR Area",527,619,805,1091,1154,IN,73883.0
134,581,18,METRO18020M18020,"Columbus, IN MSA",703,711,845,1039,1197,IN,71435.0
135,582,18,METRO21140M21140,"Elkhart-Goshen, IN MSA",651,654,796,1004,1033,IN,182791.0
136,583,18,METRO21780M21780,"Evansville, IN-KY HUD Metro FMR Area",464,552,678,837,953,IN,251366.0
137,585,18,METRO23060M23060,"Fort Wayne, IN MSA",498,521,661,809,831,IN,390156.0
138,586,18,METRO26900M26900,"Indianapolis, IN HUD Metro FMR Area",590,685,818,1062,1144,IN,1489085.0
139,588,18,METRO29020M29020,"Kokomo, IN MSA",559,588,741,939,966,IN,101541.0
140,589,18,METRO29140M29140,"Lafayette, IN HUD Metro FMR Area",571,683,846,1096,1404,IN,158376.0
141,591,18,METRO31140M31140,"Louisville, KY-IN HUD Metro FMR Area",566,644,760,1070,1111,IN,201620.0
142,593,18,METRO33140M33140,"Michigan City-La Porte, IN MSA",492,576,728,979,1010,IN,110106.0
143,594,18,METRO34620M34620,"Muncie, IN MSA",526,553,684,902,1010,IN,118769.0
144,595,18,METRO43780M43780,"South Bend-Mishawaka, IN HUD Metro FMR Area",575,639,777,991,1022,IN,265559.0
145,596,18,METRO45460M45460,"Terre Haute, IN HUD Metro FMR Area",455,507,653,812,958,IN,149192.0
146,644,19,METRO11180M11180,"Ames, IA MSA",594,633,775,1131,1364,IA,79981.0
147,645,19,METRO16300M16300,"Cedar Rapids, IA HUD Metro FMR Area",465,539,709,1022,1244,IA,191701.0
149,649,19,METRO19780M19780,"Des Moines-West Des Moines, IA MSA",541,644,780,1004,1104,IA,481394.0
150,650,19,METRO20220M20220,"Dubuque, IA MSA",431,468,617,831,943,IA,89143.0
151,651,19,METRO26980MM3500,"Iowa City, IA HUD Metro FMR Area",521,615,780,1136,1369,IA,111006.0
152,653,19,METRO36540M36540,"Omaha-Council Bluffs, NE-IA HUD Metro FMR Area",566,638,790,1078,1114,IA,117917.0
153,654,19,METRO43580M43580,"Sioux City, IA-NE-SD MSA",465,544,714,899,957,IA,103877.0
154,655,19,METRO47940M47940,"Waterloo-Cedar Falls, IA HUD Metro FMR Area",440,544,651,803,1132,IA,140381.0
155,736,20,METRO28140M28140,"Kansas City, MO-KS HUD Metro FMR Area",610,733,842,1139,1198,KS,715580.0
156,738,20,METRO29940M29940,"Lawrence, KS MSA",590,619,800,1170,1406,KS,99962.0
157,739,20,METRO31740M31740,"Manhattan, KS MSA",475,543,662,924,1105,KS,108999.0
158,740,20,METRO41140M41140,"St. Joseph, MO-KS MSA",418,511,644,813,941,KS,8249.0
159,741,20,METRO45820M45820,"Topeka, KS MSA",532,581,702,906,970,KS,224551.0
160,742,20,METRO48620M48620,"Wichita, KS HUD Metro FMR Area",475,532,687,883,1006,KS,545220.0
161,829,21,METRO14540M14540,"Bowling Green, KY MSA",510,576,707,953,1093,KY,104166.0
