,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
2129,48,METRO13140M13140,"Beaumont-Port Arthur, TX MSA",514,572,682,872,923,TX,385090
2130,48,METRO15180M15180,"Brownsville-Harlingen, TX MSA",498,545,623,790,925,TX,335227
2131,48,METRO17780M17780,"College Station-Bryan, TX MSA",586,667,815,1121,1155,TX,184885
2132,48,METRO18580M18580,"Corpus Christi, TX HUD Metro FMR Area",625,650,824,1135,1253,TX,380783
2134,48,METRO19100M19100,"Dallas, TX HUD Metro FMR Area",645,718,871,1156,1401,TX,3451226
2135,48,METRO19100MM2800,"Fort Worth-Arlington, TX HUD Metro FMR Area",653,699,861,1168,1312,TX,1661525
2137,48,METRO21340M21340,"El Paso, TX MSA",476,512,605,877,1024,TX,679622
2138,48,METRO26420M26420,"Houston-Baytown-Sugar Land, TX HUD Metro FMR Area",631,702,852,1136,1428,TX,4450050
2141,48,METRO28660M28660,"Killeen-Temple-Fort Hood, TX HUD Metro FMR Area",548,583,738,1075,1297,TX,312952
2143,48,METRO29700M29700,"Laredo, TX MSA",502,559,664,922,1079,TX,193117
2144,48,METRO30980M30980,"Longview, TX HUD Metro FMR Area",534,557,642,881,907,TX,146670
2146,48,METRO31180M31180,"Lubbock, TX MSA",467,574,717,1021,1067,TX,249700
2147,48,METRO32580M32580,"McAllen-Edinburg-Mission, TX MSA",534,573,671,809,929,TX,569463
2148,48,METRO33260M33260,"Midland, TX MSA",588,623,821,1197,1440,TX,116009
2149,48,METRO36220M36220,"Odessa, TX MSA",508,553,730,1042,1128,TX,121123
2150,48,METRO41660M41660,"San Angelo, TX MSA",459,523,664,951,1103,TX,105781
2151,48,METRO41700M41700,"San Antonio, TX HUD Metro FMR Area",606,670,831,1107,1331,TX,1610028
2155,48,METRO43300M43300,"Sherman-Denison, TX MSA",605,612,729,994,1072,TX,110595
2157,48,METRO46340M46340,"Tyler, TX MSA",537,616,726,1003,1037,TX,174706
2158,48,METRO47020M47020,"Victoria, TX HUD Metro FMR Area",482,562,701,903,1015,TX,91016
2160,48,METRO47380M47380,"Waco, TX MSA",582,583,730,931,962,TX,213517
2161,48,METRO48660M48660,"Wichita Falls, TX MSA",514,549,658,924,973,TX,151524
2340,49,METRO36260M36260,"Ogden-Clearfield, UT MSA",493,607,728,996,1204,UT,442656
2341,49,METRO39340M39340,"Provo-Orem, UT MSA",562,605,701,1019,1227,UT,376774
2342,49,METRO41100M41100,"St. George, UT MSA",549,566,690,990,1168,UT,90354
2343,49,METRO41620M41620,"Salt Lake City, UT HUD Metro FMR Area",607,667,789,1128,1319,UT,898387
2365,50,METRO15540M15540,"Burlington-South Burlington, VT MSA",757,843,1069,1401,1688,VT,198889
2378,51,METRO13980N51121,"Blacksburg-Christiansburg-Radford, VA HUD Metro FMR Area",563,611,678,941,1190,VA,99488
2380,51,METRO16820M16820,"Charlottesville, VA MSA",641,770,893,1176,1486,VA,174021
2381,51,METRO19260M19260,"Danville, VA MSA",463,464,600,748,771,VA,110156
2382,51,METRO25500M25500,"Harrisonburg, VA MSA",496,570,678,976,1055,VA,108193
2384,51,METRO31340M31340,"Lynchburg, VA MSA",517,520,624,805,918,VA,228616
2385,51,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",719,779,870,1161,1386,VA,1071330
2387,51,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",533,538,699,934,1015,VA,241023
2392,51,METRO49020M49020,"Winchester, VA-WV MSA",534,572,755,1049,1080,VA,82794
2437,53,METRO13380M13380,"Bellingham, WA MSA",573,634,793,1159,1369,WA,166814
2438,53,METRO14740M14740,"Bremerton-Silverdale, WA MSA",646,693,843,1201,1334,WA,231969
2439,53,METRO28420M28420,"Kennewick-Richland-Pasco, WA MSA",513,564,702,960,1118,WA,191822
2441,53,METRO31020M31020,"Longview, WA MSA",454,568,650,947,1067,WA,92948
2442,53,METRO34580M34580,"Mount Vernon-Anacortes, WA MSA",627,709,898,1245,1475,WA,102979
2443,53,METRO36500M36500,"Olympia, WA MSA",581,656,817,1176,1435,WA,207355
2445,53,METRO42660MM7600,"Seattle-Bellevue, WA HUD Metro FMR Area",729,832,1002,1428,1760,WA,2343058
2446,53,METRO42660MM8200,"Tacoma, WA HUD Metro FMR Area",581,678,845,1231,1385,WA,700820
2447,53,METRO44060M44060,"Spokane, WA MSA",466,541,713,970,1138,WA,417939
2448,53,METRO48300M48300,"Wenatchee, WA MSA",525,567,702,966,1138,WA,99219
2449,53,METRO49420M49420,"Yakima, WA MSA",492,581,736,982,1114,WA,222581
2472,54,METRO16620M16620,"Charleston, WV HUD Metro FMR Area",523,526,644,848,882,WV,284100
2475,54,METRO25180MM0877,"Martinsburg, WV HUD Metro FMR Area",558,594,721,957,1100,WV,90848
2477,54,METRO34060M34060,"Morgantown, WV MSA",477,519,624,837,917,WV,111200
2517,55,METRO11540M11540,"Appleton, WI MSA",525,548,696,1015,1044,WI,201602
2520,55,METRO20740M20740,"Eau Claire, WI MSA",477,504,640,891,1002,WI,148337
2521,55,METRO22540M22540,"Fond du Lac, WI MSA",507,551,659,847,924,WI,97296
2522,55,METRO24580M24580,"Green Bay, WI HUD Metro FMR Area",545,568,710,1003,1034,WI,246965
2524,55,METRO27500M27500,"Janesville, WI MSA",534,591,740,964,991,WI,152307
2526,55,METRO31540M31540,"Madison, WI HUD Metro FMR Area",580,719,853,1181,1477,WI,426526
2529,55,METRO33340M33340,"Milwaukee-Waukesha-West Allis, WI MSA",558,665,795,1002,1032,WI,1500741
2531,55,METRO36780M36780,"Oshkosh-Neenah, WI MSA",489,555,657,880,1114,WI,156763
2532,55,METRO39540M39540,"Racine, WI MSA",503,604,749,935,1008,WI,188831
2533,55,METRO43100M43100,"Sheboygan, WI MSA",445,539,639,817,985,WI,112646
2534,55,METRO48140M48140,"Wausau, WI MSA",449,535,652,872,953,WI,125834
2582,56,METRO16220M16220,"Casper, WY MSA",480,520,658,958,1155,WY,66533
2583,56,METRO16940M16940,"Cheyenne, WY MSA",500,536,671,958,1178,WY,81607
2605,66,NCNTY66010N66010,Pacific Islands,808,873,1046,1525,1838,GU,154805
2606,72,METRO10380M10380,"Aguadilla-Isabela-San Sebastián, PR MSA",327,354,393,500,612,PR,312602
2607,72,METRO21940M21940,"Fajardo, PR MSA",410,446,494,719,838,PR,78533
2608,72,METRO25020M25020,"Guayama, PR MSA",388,417,466,643,820,PR,83570
2609,72,METRO32420M32420,"Mayagüez, PR MSA",371,401,446,533,737,PR,115048
2610,72,METRO38660M38660,"Ponce, PR MSA",419,455,504,718,814,PR,264919
2611,72,METRO41900M41900,"San Germán-Cabo Rojo, PR MSA",336,366,406,533,557,PR,136212
2612,72,METRO41980MM0470,"Arecibo, PR HUD Metro FMR Area",339,369,410,556,639,PR,174300
2613,72,METRO41980MM1310,"Caguas, PR HUD Metro FMR Area",386,419,466,616,728,PR,308365
2614,72,METRO41980MM7440,"San Juan-Guaynabo, PR HUD Metro FMR Area",438,476,530,701,844,PR,1889094
2615,72,METRO41980N72923,"Barranquitas-Aibonito-Quebradillas, PR HUD Metro FMR Area",327,352,392,503,570,PR,137248
2616,72,METRO49500M49500,"Yauco, PR MSA",333,351,401,492,608,PR,118063
2617,72,NCNTY72923N72923,Puerto Rico HUD Nonmetro Area,361,390,434,574,614,PR,190656
2618,78,NCNTY78010N78010,"St. Croix Island, VI",587,616,737,951,1128,VI,53234
2619,78,NCNTY78923N78923,"St. John/St. Thomas, VI",663,792,1021,1296,1335,VI,55378
