,State,CBSASub,areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
2445,53,METRO42660MM7600,"Seattle-Bellevue, WA HUD Metro FMR Area",660,752,906,1291,1591,WA,2343058
2446,53,METRO42660MM8200,"Tacoma, WA HUD Metro FMR Area",541,632,788,1148,1292,WA,700820
2447,53,METRO44060M44060,"Spokane, WA MSA",453,526,693,943,1106,WA,417939
2448,53,METRO48300M48300,"Wenatchee, WA MSA",510,550,682,938,1106,WA,99219
2449,53,METRO49420M49420,"Yakima, WA MSA",481,568,719,959,1089,WA,222581
2472,54,METRO16620M16620,"Charleston, WV HUD Metro FMR Area",486,488,598,788,819,WV,284100
2475,54,METRO25180MM0877,"Martinsburg, WV HUD Metro FMR Area",538,573,695,922,1060,WV,90848
2477,54,METRO34060M34060,"Morgantown, WV MSA",443,483,580,778,852,WV,111200
2517,55,METRO11540M11540,"Appleton, WI MSA",487,509,646,942,969,WI,201602
2520,55,METRO20740M20740,"Eau Claire, WI MSA",444,469,595,828,931,WI,148337
2521,55,METRO22540M22540,"Fond du Lac, WI MSA",473,514,615,791,862,WI,97296
2522,55,METRO24580M24580,"Green Bay, WI HUD Metro FMR Area",492,514,642,907,935,WI,246965
2524,55,METRO27500M27500,"Janesville, WI MSA",497,549,688,896,921,WI,152307
2526,55,METRO31540M31540,"Madison, WI HUD Metro FMR Area",556,690,818,1132,1416,WI,426526
2529,55,METRO33340M33340,"Milwaukee-Waukesha-West Allis, WI MSA",510,608,726,915,942,WI,1500741
2531,55,METRO36780M36780,"Oshkosh-Neenah, WI MSA",455,517,612,819,1037,WI,156763
2532,55,METRO39540M39540,"Racine, WI MSA",491,590,731,912,984,WI,188831
2533,55,METRO43100M43100,"Sheboygan, WI MSA",414,501,594,759,916,WI,112646
2534,55,METRO48140M48140,"Wausau, WI MSA",418,498,607,812,887,WI,125834
2582,56,METRO16220M16220,"Casper, WY MSA",382,414,523,761,918,WY,66533
2583,56,METRO16940M16940,"Cheyenne, WY MSA",490,526,658,939,1155,WY,81607
2605,66,NCNTY66010N66010,Pacific Islands,772,835,1000,1458,1757,GU,154805
2606,72,METRO10380M10380,"Aguadilla-Isabela-San Sebastián, PR MSA",313,340,377,479,587,PR,312602
2607,72,METRO21940M21940,"Fajardo, PR MSA",402,437,484,705,821,PR,78533
2608,72,METRO25020M25020,"Guayama, PR MSA",372,399,446,615,785,PR,83570
2609,72,METRO32420M32420,"Mayagüez, PR MSA",364,394,438,524,724,PR,115048
2610,72,METRO38660M38660,"Ponce, PR MSA",403,437,484,690,782,PR,264919
2611,72,METRO41900M41900,"San Germán-Cabo Rojo, PR MSA",330,359,398,522,546,PR,136212
2612,72,METRO41980MM0470,"Arecibo, PR HUD Metro FMR Area",351,382,424,575,661,PR,174300
2613,72,METRO41980MM1310,"Caguas, PR HUD Metro FMR Area",400,435,483,639,755,PR,308365
2614,72,METRO41980MM7440,"San Juan-Guaynabo, PR HUD Metro FMR Area",466,507,564,746,898,PR,1889094
2615,72,METRO41980N72923,"Barranquitas-Aibonito-Quebradillas, PR HUD Metro FMR Area",339,365,407,522,592,PR,137248
2616,72,METRO49500M49500,"Yauco, PR MSA",327,344,393,482,595,PR,118063
2617,72,NCNTY72923N72923,Puerto Rico HUD Nonmetro Area,346,374,416,550,589,PR,190656
2618,78,NCNTY78010N78010,"St. Croix Island, VI",535,562,672,868,1028,VI,53234
2619,78,NCNTY78923N78923,"St. John/St. Thomas, VI",606,724,933,1184,1220,VI,55378
