,Unnamed: 0,Unnamed: 0.1,State,FMR_Area,Rent50_0Bed,Rent50_1Bed,Rent50_2Bed,Rent50_3Bed,Rent50_4Bed,MSAName,msa,State_Alpha,pop2000
231,1070,1071,25,5400,489.0,636.0,726.0,867.0,1162.0,"New Bedford, MA PMSA",5400,MA,175198
232,1071,1072,25,6320,454.0,557.0,689.0,859.0,886.0,"Pittsfield, MA MSA",6320,MA,84699
233,1072,1073,25,6480,734.0,790.0,920.0,1099.0,1330.0,"Providence--Fall River--Warwick, RI--MA MSA",6480,MA,233064
234,1073,1074,25,8000,509.0,622.0,770.0,919.0,1053.0,"Springfield, MA MSA",8000,MA,591932
236,1083,1084,26,440,695.0,766.0,909.0,1184.0,1230.0,"Ann Arbor, MI PMSA",440,MI,578736
237,1084,1085,26,870,415.0,472.0,586.0,736.0,899.0,"Benton Harbor, MI MSA",870,MI,162453
238,1085,1086,26,2160,606.0,670.0,805.0,962.0,992.0,"Detroit, MI PMSA",2160,MI,4441551
239,1086,1087,26,2640,513.0,535.0,650.0,817.0,841.0,"Flint, MI PMSA",2640,MI,436141
240,1087,1088,26,3000,512.0,548.0,658.0,849.0,894.0,"Grand Rapids--Muskegon--Holland, MI MSA",3000,MI,1088514
241,1088,1089,26,3520,508.0,513.0,616.0,763.0,785.0,"Jackson, MI MSA",3520,MI,158422
242,1089,1090,26,3720,480.0,517.0,634.0,829.0,901.0,"Kalamazoo--Battle Creek, MI MSA",3720,MI,452851
243,1090,1091,26,4040,507.0,550.0,692.0,897.0,1005.0,"Lansing--East Lansing, MI MSA",4040,MI,447728
244,1091,1092,26,6960,409.0,476.0,597.0,774.0,798.0,"Saginaw--Bay City--Midland, MI MSA",6960,MI,403070
245,1150,1151,27,2240,372.0,452.0,575.0,734.0,933.0,"Duluth--Superior, MN--WI MSA",2240,MN,200528
246,1151,1152,27,2520,378.0,442.0,550.0,801.0,928.0,"Fargo--Moorhead, ND--MN MSA",2520,MN,51229
247,1152,1153,27,2985,381.0,472.0,586.0,757.0,981.0,"Grand Forks, ND--MN MSA",2985,MN,31369
248,1153,1154,27,3870,370.0,434.0,571.0,775.0,1001.0,"La Crosse, WI--MN MSA",3870,MN,19718
249,1154,1155,27,5120,651.0,763.0,928.0,1229.0,1386.0,"Minneapolis--St. Paul, MN--WI MSA",5120,MN,2868847
250,1155,1156,27,6820,526.0,591.0,776.0,1055.0,1087.0,"Rochester, MN MSA",6820,MN,124277
251,1156,1157,27,6980,445.0,486.0,578.0,815.0,976.0,"St. Cloud, MN MSA",6980,MN,167392
252,1226,1227,28,920,497.0,532.0,627.0,859.0,885.0,"Biloxi--Gulfport--Pascagoula, MS MSA",920,MS,363988
253,1227,1228,28,3285,398.0,461.0,552.0,803.0,827.0,"Hattiesburg, MS MSA",3285,MS,111674
254,1228,1229,28,3560,488.0,563.0,650.0,823.0,849.0,"Jackson, MS MSA",3560,MS,440801
256,1303,1304,29,1740,400.0,469.0,581.0,847.0,1006.0,"Columbia, MO MSA",1740,MO,135454
257,1304,1305,29,3710,347.0,410.0,521.0,671.0,691.0,"Joplin, MO MSA",3710,MO,157322
259,1306,1307,29,7000,350.0,433.0,539.0,676.0,787.0,"St. Joseph, MO MSA",7000,MO,102490
261,1308,1309,29,7920,370.0,427.0,551.0,800.0,931.0,"Springfield, MO MSA",7920,MO,325721
262,1402,1403,30,880,406.0,452.0,581.0,817.0,962.0,"Billings, MT MSA",880,MT,129352
263,1403,1404,30,3040,352.0,416.0,542.0,734.0,853.0,"Great Falls, MT MSA",3040,MT,80357
264,1404,1405,30,5140,446.0,523.0,649.0,867.0,1025.0,"Missoula, MT MSA",5140,MT,95802
265,1458,1459,31,4360,437.0,496.0,632.0,887.0,1092.0,"Lincoln, NE MSA",4360,NE,250291
269,1549,1550,32,6720,612.0,729.0,900.0,1310.0,1578.0,"Reno, NV MSA",6720,NV,339486
270,1563,1564,32,320000510,522.0,633.0,788.0,1149.0,1341.0,Carson City,9999,NV,52457
274,1567,1568,33,4760,672.0,816.0,992.0,1187.0,1222.0,"Manchester, NH PMSA",4760,NH,198378
275,1568,1569,33,5350,735.0,891.0,1112.0,1486.0,1628.0,"Nashua, NH PMSA",5350,NH,190949
277,1580,1581,34,560,706.0,761.0,900.0,1154.0,1268.0,"Atlantic--Cape May, NJ PMSA",560,NJ,354878
278,1581,1582,34,875,906.0,990.0,1132.0,1428.0,1729.0,"Bergen--Passaic, NJ PMSA",875,NJ,1373167
279,1582,1583,34,3640,984.0,1025.0,1187.0,1426.0,1530.0,"Jersey City, NJ PMSA",3640,NJ,608975
280,1583,1584,34,5015,1011.0,1053.0,1262.0,1645.0,1917.0,"Middlesex--Somerset--Hunterdon, NJ PMSA",5015,NJ,1169641
281,1584,1585,34,5190,756.0,868.0,1077.0,1410.0,1562.0,"Monmouth--Ocean, NJ PMSA",5190,NJ,1126217
282,1585,1586,34,5640,735.0,891.0,1020.0,1242.0,1403.0,"Newark, NJ PMSA",5640,NJ,2032989
283,1586,1587,34,6160,698.0,801.0,962.0,1153.0,1398.0,"Philadelphia, PA--NJ PMSA",6160,NJ,1251284
284,1587,1588,34,8480,746.0,869.0,1045.0,1274.0,1383.0,"Trenton, NJ PMSA",8480,NJ,350761
285,1588,1589,34,8760,694.0,695.0,844.0,1023.0,1108.0,"Vineland--Millville--Bridgeton, NJ PMSA",8760,NJ,146438
286,1589,1590,35,200,470.0,553.0,699.0,1017.0,1224.0,"Albuquerque, NM MSA",200,NM,712738
287,1590,1591,35,4100,428.0,465.0,516.0,739.0,782.0,"Las Cruces, NM MSA",4100,NM,174682
288,1591,1592,35,7490,560.0,707.0,861.0,1200.0,1288.0,"Santa Fe, NM MSA",7490,NM,147635
289,1619,1620,36,160,569.0,600.0,719.0,862.0,927.0,"Albany--Schenectady--Troy, NY MSA",160,NY,875583
290,1620,1621,36,960,459.0,460.0,553.0,721.0,871.0,"Binghamton, NY MSA",960,NY,252320
291,1621,1622,36,1280,538.0,542.0,648.0,806.0,899.0,"Buffalo--Niagara Falls, NY MSA",1280,NY,1170111
292,1623,1624,36,2335,503.0,504.0,606.0,775.0,862.0,"Elmira, NY MSA",2335,NY,91070
293,1624,1625,36,2975,457.0,506.0,642.0,803.0,924.0,"Glens Falls, NY MSA",2975,NY,124345
294,1625,1626,36,3610,448.0,449.0,541.0,691.0,756.0,"Jamestown, NY MSA",3610,NY,139750
295,1626,1627,36,5380,954.0,1097.0,1292.0,1743.0,1915.0,"Nassau--Suffolk, NY PMSA",5380,NY,2753913
296,1627,1628,36,5600,916.0,988.0,1102.0,1379.0,1428.0,"New York, NY PMSA",5600,NY,9314235
297,1628,1629,36,5660,718.0,812.0,993.0,1233.0,1309.0,"Newburgh, NY--PA PMSA",5660,NY,341367
298,1629,1630,36,6840,540.0,597.0,726.0,889.0,938.0,"Rochester, NY MSA",6840,NY,1098201
299,1630,1631,36,8160,577.0,578.0,693.0,894.0,991.0,"Syracuse, NY MSA",8160,NY,732117
300,1631,1632,36,8680,474.0,475.0,572.0,712.0,803.0,"Utica--Rome, NY MSA",8680,NY,299896
301,1656,1657,37,480,505.0,577.0,647.0,889.0,1135.0,"Asheville, NC MSA",480,NC,225965
302,1657,1658,37,1520,642.0,695.0,773.0,986.0,1209.0,"Charlotte--Gastonia--Rock Hill, NC--SC MSA",1520,NC,1334679
303,1658,1659,37,2560,508.0,549.0,611.0,876.0,1025.0,"Fayetteville, NC MSA",2560,NC,302963
304,1659,1660,37,2980,379.0,482.0,549.0,701.0,868.0,"Goldsboro, NC MSA",2980,NC,113329
305,1660,1661,37,3120,523.0,575.0,645.0,864.0,944.0,"Greensboro--Winston-Salem--High Point, NC MSA",3120,NC,1251509
306,1661,1662,37,3150,458.0,461.0,589.0,851.0,874.0,"Greenville, NC MSA",3150,NC,133798
307,1662,1663,37,3290,462.0,484.0,558.0,711.0,797.0,"Hickory--Morganton--Lenoir, NC MSA",3290,NC,341851
308,1663,1664,37,3605,464.0,488.0,561.0,790.0,976.0,"Jacksonville, NC MSA",3605,NC,150355
309,1664,1665,37,5720,653.0,686.0,788.0,1087.0,1361.0,"Norfolk--Virginia Beach--Newport News, VA--NC MSA",5720,NC,18190
310,1665,1666,37,6640,636.0,740.0,829.0,1097.0,1249.0,"Raleigh--Durham--Chapel Hill, NC MSA",6640,NC,1187941
311,1666,1667,37,6895,421.0,489.0,593.0,786.0,810.0,"Rocky Mount, NC MSA",6895,NC,143026
312,1667,1668,37,9200,525.0,589.0,716.0,1019.0,1050.0,"Wilmington, NC MSA",9200,NC,233450
313,1733,1734,38,1010,412.0,443.0,541.0,787.0,812.0,"Bismarck, ND MSA",1010,ND,94719
316,1785,1786,39,80,486.0,560.0,724.0,931.0,961.0,"Akron, OH PMSA",80,OH,694960
