,1,2,3,4,5,6,7,8,9,10,11,12,13,14,27,56,57,58,59,60,61,62,63,64,65,66,67
Label (Grouping),Population 18 to 24 years,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,    Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
"Columbus city, Ohio!!Total!!Estimate","100,226","10,919","24,612","50,635","14,060","560,012","19,137","42,029","146,968","117,000","40,179","128,302","66,397",(X),"20,441",,(X),(X),(X),(X),,"33,709","19,217","26,395","31,018","45,559","54,708"
"Oklahoma City city, Oklahoma!!Total!!Estimate","57,635","10,389","18,240","22,455","6,551","409,659","25,847","33,225","104,800","95,991","26,442","79,476","43,878",(X),"21,384",,(X),(X),(X),(X),,"34,753","21,244","26,451","33,120","44,531","60,989"
"Tulsa city, Oklahoma!!Total!!Estimate","39,686","8,093","12,137","15,612","3,844","264,531","13,852","20,822","67,537","59,678","21,147","53,969","27,526",(X),"16,949",,(X),(X),(X),(X),,"31,665","21,680","26,160","30,723","42,431","57,442"
"Portland city, Oregon!!Total!!Estimate","53,583","5,469","13,372","27,091","7,651","462,743","16,311","24,043","69,251","99,692","28,595","135,811","89,040",(X),"29,822",,(X),(X),(X),(X),,"36,399","22,379","26,560","27,494","42,440","61,595"
"Pittsburgh city, Pennsylvania!!Total!!Estimate","53,940","2,800","10,919","29,373","10,848","204,143","4,075","12,172","56,727","31,225","15,600","42,671","41,673",(X),"11,487",,(X),(X),(X),(X),,"36,081","21,476","26,313","30,382","41,877","55,196"
"Arlington city, Texas!!Total!!Estimate","42,976","5,530","14,927","19,059","3,460","242,995","17,323","22,249","56,107","57,684","17,405","51,186","21,041",(X),"12,121",,(X),(X),(X),(X),,"33,905","21,733","26,961","35,245","50,099","58,252"
"Austin city, Texas!!Total!!Estimate","101,494","9,159","22,013","55,343","14,979","635,470","45,582","30,291","107,110","110,607","34,848","196,563","110,469",(X),"31,842",,(X),(X),(X),(X),,"40,127","21,713","26,221","35,306","50,379","70,248"
"Dallas city, Texas!!Total!!Estimate","129,413","25,523","39,499","46,128","18,263","834,619","115,145","94,907","176,116","147,925","35,499","169,250","95,777",(X),"40,652",,(X),(X),(X),(X),,"32,437","21,283","25,632","32,387","54,520","75,384"
"El Paso city, Texas!!Total!!Estimate","75,717","10,126","20,987","40,797","3,807","422,146","49,759","37,019","103,757","99,689","29,299","72,986","29,637",(X),"11,806",,(X),(X),(X),(X),,"30,659","17,285","23,910","29,979","46,166","56,096"
"Fort Worth city, Texas!!Total!!Estimate","81,721","12,303","30,166","33,196","6,056","518,807","51,739","47,094","135,055","110,392","32,862","97,306","44,359",(X),"20,389",,(X),(X),(X),(X),,"37,236","23,629","30,697","36,337","52,079","67,830"
"Houston city, Texas!!Total!!Estimate","239,139","42,675","77,336","93,008","26,120","1,471,908","199,699","128,231","341,559","271,522","76,656","277,222","177,019",(X),"66,156",,(X),(X),(X),(X),,"32,195","20,632","24,012","31,552","59,007","72,342"
"San Antonio city, Texas!!Total!!Estimate","162,624","24,345","52,742","73,938","11,599","934,535","84,659","93,066","251,062","214,251","65,601","149,691","76,205",(X),"39,429",,(X),(X),(X),(X),,"31,509","20,369","25,674","31,770","48,709","62,540"
"Salt Lake City city, Utah!!Total!!Estimate","25,890","2,359","4,469","14,835","4,227","128,718","5,282","6,979","26,048","23,182","10,034","31,866","25,327",(X),"7,618",,(X),(X),(X),(X),,"36,290","21,125","26,650","31,957","41,082","62,229"
"Seattle city, Washington!!Total!!Estimate","77,808","4,282","10,049","39,820","23,657","506,840","13,456","13,172","51,571","81,823","32,088","186,009","128,721",(X),"38,757",,(X),(X),(X),(X),,"52,350","24,938","29,632","39,025","60,476","75,482"
"Milwaukee city, Wisconsin!!Total!!Estimate","72,608","11,939","20,464","33,897","6,308","371,229","23,041","41,166","106,670","87,173","24,456","60,906","27,817",(X),"11,008",,(X),(X),(X),(X),,"31,187","20,927","25,717","29,449","42,001","56,365"
